iter	Passed	Remaining
1466	232133	84340
1467	232323	84193
1468	232522	84049
1469	232709	83901
1470	232868	83744
1471	233061	83598
1472	233216	83438
1473	233405	83291
1474	233562	83132
1475	233735	82979
1476	233898	82822
1477	234098	82678
1478	234269	82524
1479	234415	82362
1480	234595	82211
1481	234759	82054
1482	234943	81905
1483	235152	81764
1484	235305	81604
1485	235460	81444
1486	235615	81284
1487	235816	81141
1488	235972	80981
1489	236118	80819
1490	236272	80659
1491	236459	80510
1492	236642	80360
1493	236819	80207
1494	236998	80056
1495	237156	79897
1496	237329	79744
1497	237501	79589
1498	237640	79425
1499	237815	79271
1500	238039	79135
1501	238190	78973
1502	238345	78814
1503	238499	78654
1504	238694	78507
1505	238836	78343
1506	239023	78194
1507	239206	78043
1508	239435	77907
1509	239573	77742
1510	239735	77584
1511	239883	77422
1512	240087	77278
1513	240224	77112
1514	240387	76955
1515	240521	76789
1516	240720	76643
1517	240878	76484
1518	241033	76324
1519	241211	76171
1520	241415	76027
1521	241554	75862
1522	241708	75702
1523	241898	75553
1524	242086	75404
1525	242252	75247
1526	242401	75085
1527	242610	74942
1528	242747	74777
1529	242916	74621
1530	243079	74464
1531	243266	74313
1532	243419	74153
1533	243582	73995
1534	243775	73847
1535	243994	73706
1536	244198	73561
1537	244393	73413
1538	244602	73269
1539	244743	73105
1540	244923	72952
1541	245167	72818
1542	245319	72657
1543	245462	72494
1544	245679	72352
1545	245835	72192
1546	246017	72039
1547	246159	71875
1548	246345	71725
1549	246494	71562
1550	246651	71403
1551	246804	71242
1552	247007	71096
1553	247141	70929
1554	247308	70773
1555	247472	70615
1556	247662	70465
1557	247816	70304
1558	248026	70160
1559	248175	69998
1560	248369	69849
1561	248569	69701
1562	248741	69545
1563	248967	69405
1564	249245	69279
1565	249382	69113
1566	249578	68964
1567	249723	68801
1568	249909	68649
1569	250090	68496
1570	250245	68335
1571	250380	68169
1572	250571	68019
1573	250710	67854
1574	250846	67688
1575	251001	67528
1576	251138	67363
1577	251289	67201
1578	251427	67036
1579	251554	66868
1580	251679	66700
1581	251826	66538
1582	251973	66375
1583	252105	66209
1584	252291	66057
1585	252456	65899
1586	252609	65738
1587	252751	65575
1588	252953	65427
1589	253094	65263
1590	253232	65098
1591	253391	64939
1592	253574	64786
1593	253729	64626
1594	253901	64470
1595	254038	64305
1596	254221	64152
1597	254358	63987
1598	254509	63826
1599	254654	63663
1600	254826	63507
1601	255018	63356
1602	255189	63200
1603	255332	63037
1604	255486	62876
1605	255675	62724
1606	255801	62557
1607	255974	62401
1608	256139	62243
1609	256420	62114
1610	256581	61955
1611	256741	61796
1612	256947	61648
1613	257093	61485
